"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"ABL2",1465.13262070111,-0.64827283486912,0.273930526431761,-2.36655929995671,0.0179542977292403,0.0403061852739196,"Down"
"ABLIM1",4709.27030319214,-0.933986485053154,0.350214843530493,-2.66689577071519,0.00765554099692409,0.0193268651002401,"Down"
"ABLIM2",511.792379346659,-2.97144457961787,0.429224075140604,-6.92282831209898,4.42714207591351e-12,1.19725880035533e-10,"Down"
"ABLIM3",1150.45159393126,-1.05928463885691,0.45367511525558,-2.33489694108561,0.0195488051986015,0.0432954492947481,"Down"
"ABO",42.419891542588,-1.16790152085498,0.482006577395943,-2.42299913657737,0.015392963266131,0.035305901692509,"Down"
"ABR",9293.57095422795,-2.02322200068251,0.289557678504586,-6.98728492068106,2.80256732119245e-12,7.90069205728891e-11,"Down"
"ABRA",1.90511999272243,-2.75842775047654,0.831613096919156,-3.31696044794818,0.000910024983351521,0.00303327200184901,"Down"
"ABRACL",631.248580275259,0.682651081890849,0.349350017006443,1.95406053716682,0.0506940583410661,0.097238520566379,"Not"
"ABRAXAS1",292.981713862519,0.730511229422946,0.261795264822536,2.79039130030919,0.00526443741222981,0.013954996793268,"Up"
"ABRAXAS2",727.777368998124,-0.534681547106544,0.156338382687009,-3.4200273657492,0.000626148365061655,0.0021865834234867,"Down"
"ABT1",1153.21760106074,0.523130664808907,0.226675082289855,2.30784371852556,0.0210078303389177,0.0460228059915109,"Up"
"ABTB1",1159.93667956345,-1.24157419294751,0.277119954406226,-4.48027712622782,7.45461855283078e-06,4.41581129557369e-05,"Down"
"ABTB2",524.198288825579,-1.00638763868155,0.427301066096844,-2.3552191148839,0.0185117863698846,0.0413176310712188,"Down"
"AC002094.3",0,NA,NA,NA,NA,NA,NA
"AC002310.4",0,NA,NA,NA,NA,NA,NA
"AC002310.5",1.64622400598454,-2.18455261386548,0.57529631093383,-3.797265117726,0.000146301293443295,0.000611703790068752,"Down"
"AC002429.2",86.1613969578108,0.966415515488189,0.829025765174759,1.16572434306003,0.243725914693354,0.351123838078556,"Not"
"AC002985.1",0.721465112077209,2.01326640504531,1.19967864511272,1.67817141135837,0.093313641075135,0.160952406215256,"Not"
"AC002996.1",0.319160401647732,-0.456318973102061,1.74928973081458,-0.260859573496479,0.794200801360042,0.862834293478041,"Not"
"AC003002.1",322.85499564654,0.664678691281253,0.277316769674988,2.39682112286339,0.0165379950386775,0.0375663454632687,"Up"
"AC003002.2",0.0145335085190165,0.0313141897445766,8.19826783081789,0.00381961048245634,0.996952399178226,NA,"Not"
"AC003002.3",8.68569620504458,-0.616661612062405,0.463467470145707,-1.33053914629335,0.183340697368942,0.279884888024822,"Not"
"AC003002.4",9.30352447316094,-0.776275904080283,0.433044789663241,-1.79259957078333,0.0730369751043648,0.131386054219454,"Not"
"AC003005.1",0.86583365850843,-1.80020990450958,0.908430440218592,-1.98167060988886,0.0475161186743644,0.091958071984109,"Down"
"AC003006.1",3.00460950427834,3.33827541410834,1.24270908352248,2.68628873673791,0.00722506227581474,0.0183822656507328,"Up"
"AC003688.1",0.0683826621844146,0.225404550724946,4.20103291342808,0.053654554813048,0.957210390617062,NA,"Not"
"AC004076.1",15.3108201261885,0.207939615324253,0.459014305837401,0.453013365117018,0.650539117623374,0.749515810421729,"Not"
"AC004080.3",0.33247444657507,1.0802372112316,1.91871917852079,0.562999121145177,0.573435482391107,0.684019783649759,"Not"
"AC004223.3",0.503503277428243,-0.480404252792963,1.02789002415717,-0.467369311407491,0.640235674977701,0.74107520340919,"Not"
"AC004233.2",8.54076856217048,3.47208308822982,1.52858557789033,2.27143520025997,0.023120645544064,0.0499863735757442,"Up"
"AC004691.2",1.07227482204522,-0.745616332433308,0.956575150505659,-0.779464459262991,0.435706165668782,0.553286166969243,"Not"
"AC004754.1",32.4283485916818,-0.234215277798297,0.327137578048324,-0.715953450519522,0.474020092457263,0.591258810200041,"Not"
"AC004805.1",0.721109168096269,-0.380515211614395,0.975139733195424,-0.390216087665189,0.696376766478026,0.787917918145679,"Not"
"AC004832.3",0.0409627341078166,0.128353765714608,6.61235350414861,0.0194112074670658,0.984513069827839,NA,"Not"
"AC004997.1",10.2705194905998,0.679813978687085,0.466688454975523,1.45667622894751,0.145205774494327,0.231052650324249,"Not"
"AC005020.2",12.240959035564,1.36594993129682,0.722824727536059,1.88973879733338,0.0587929025191708,0.109873517905955,"Not"
"AC005041.1",514.689952499973,0.572246818710827,0.32976564381567,1.73531363694969,0.0826852676158339,0.145906874929837,"Not"
"AC005154.6",6.27459508585255,-0.4615626456689,0.580426015450526,-0.795213573103949,0.426489277649804,0.544331149674321,"Not"
"AC005258.1",0.150112981068734,0.49215187561081,2.28519939911497,0.215364959312266,0.829482787401498,0.886703460790706,"Not"
"AC005324.3",2.73107357913303,0.635721385886689,0.839919831509997,0.756883409627079,0.449119715593166,0.565916390920117,"Not"
"AC005324.4",2.99507880818189,-2.51458901567204,0.739768267313825,-3.39915771840656,0.000675937257220183,0.00233503316149995,"Down"
"AC005520.1",3.11244337875462,0.834708355287152,0.649832173761233,1.2844983504831,0.198967640370683,0.299320174380412,"Not"
"AC005670.2",0,NA,NA,NA,NA,NA,NA
"AC005697.1",1.08513989906202,-3.47528562847832,0.783452766334198,-4.43585851989431,9.17060656330813e-06,5.30066187377791e-05,"Down"
"AC005702.2",0.139260200845418,0.395159194279061,2.67369117277954,0.147795376781776,0.882504258062888,0.923006113521679,"Not"
"AC005726.2",112.643615523783,-1.41641823483458,0.468004478828875,-3.02650572571228,0.00247398135451293,0.00722166568592213,"Down"
"AC005779.2",0.815528502871858,0.774556136753061,1.13611103049952,0.681760951139172,0.495390119515663,0.61089796949287,"Not"
"AC005832.4",2.51059621927232,2.3324132620334,1.087163682089,2.14541131244527,0.0319199754195173,0.0656464090478101,"Up"
"AC005833.1",0,NA,NA,NA,NA,NA,NA
"AC005833.3",1.47317337295194,-0.00840685484373333,0.806226728643581,-0.0104274077564723,0.991680283110479,0.995156860339441,"Not"
"AC005837.2",0.0552979983277041,0.152606540721879,6.40165195260118,0.0238386188208609,0.980981335429345,NA,"Not"
"AC005885.1",1.7723693875342,-4.14126119351135,1.13342839571545,-3.65374752314836,0.000258440406799803,0.00100578255730748,"Down"
"AC005943.1",2.12019700034098,1.51109227902145,0.936984466221638,1.61271860259849,0.106805657124666,0.18008391993308,"Not"
"AC006030.1",3.44864137717765,-1.32374927628847,0.520535444980444,-2.54305309859966,0.0109888528383041,0.026443170707383,"Down"
"AC006254.1",72.5902036716826,0.0144882406323865,0.472985831289277,0.0306314474429268,0.975563462478422,0.984078817179372,"Not"
"AC006269.1",0.0809914883945885,-2.95126435334879,5.43126357106544,-0.543384484058438,0.586865106415521,NA,"Not"
"AC006486.1",1.03205554204888,0.436921971894962,1.10809890464734,0.394298712924018,0.693360513416512,0.785715677728706,"Not"
"AC006538.2",0.186229203023715,-2.85085431031642,2.22897201173464,-1.27899959950498,0.200897196923997,0.301710650251666,"Not"
"AC006978.2",2.44222303042569,0.983376956687827,0.8034415718781,1.22395578111438,0.220968909020413,0.325084804398973,"Not"
"AC007040.2",10.4340660183162,0.00284319100255056,0.484322697247401,0.00587044757288797,0.995316087419559,0.997430986483658,"Not"
"AC007192.1",3.31960380830583,1.19642967242371,0.804284109289015,1.48757094490074,0.136864080618702,0.220478369166967,"Not"
"AC007375.2",0.0529012581417578,-1.31361356667882,5.71630923780442,-0.229800997817144,0.818246409327066,NA,"Not"
"AC007731.5",0.122681434118897,-1.04791521203034,3.53209307482995,-0.296683917957283,0.766707836140425,NA,"Not"
"AC007906.2",24.5880679794067,2.71301341376152,0.799681986470443,3.39261538919483,0.00069228767119829,0.00238708384179307,"Up"
"AC007998.2",0.83148335297016,2.08974419330977,1.24979803248715,1.67206551697884,0.0945114034334781,0.162581284419683,"Not"
"AC008073.3",3.84892257942856,-1.26314299701256,0.574070819005339,-2.20032608381165,0.0277837679429995,0.058359086288942,"Down"
"AC008162.2",0,NA,NA,NA,NA,NA,NA
"AC008403.1",0.0817677533950853,0.249643431358664,4.53863906861392,0.0550040282085933,0.956135254606833,NA,"Not"
"AC008481.3",0.173957512574541,-0.156447162427943,2.20709032280078,-0.0708838966904684,0.943490159713396,0.963690047849553,"Not"
"AC008537.1",0.0193604921743225,0.0555595353316829,8.19826783081789,0.00677698466044626,0.994592789960623,NA,"Not"
"AC008560.1",176.032855401187,0.799910056867211,0.357603448652138,2.23686337445065,0.0252952709729698,0.0539914892420645,"Up"
"AC008575.1",0.34881547153712,-1.00092895169003,1.46048242283775,-0.685341320127084,0.49312856333999,0.608934611851664,"Not"
"AC008575.2",8.48553616219397,-0.208236551533878,0.352731318048651,-0.590354586844927,0.554952949995321,0.666244327501157,"Not"
"AC008687.1",0.00625246395260258,0.00706884415746986,8.19826783081789,0.00086223630446636,0.999312035050147,NA,"Not"
"AC008687.4",1.91935756933676,0.989172177496479,0.858908731384096,1.15166156932934,0.249460170230858,0.357447510767451,"Not"
"AC008695.1",0,NA,NA,NA,NA,NA,NA
"AC008750.8",11.9172530361803,-1.29236712280453,0.390179663627893,-3.31223598582276,0.000925534382904901,0.00308058903905699,"Down"
"AC008758.1",0.140918577779977,-0.253437028731827,2.57201241889678,-0.0985364716242443,0.921506312693258,0.94941837609894,"Not"
"AC008758.4",7.91175868950127,-0.352255403710429,0.402398228424004,-0.875390046049757,0.381361713967084,0.499374765998421,"Not"
"AC008758.5",0.0576915064169707,-0.568666719211932,5.10971950146081,-0.111291181257475,0.911385448301175,NA,"Not"
"AC008758.6",7.11119251621783,-0.581783018739204,0.453864770246602,-1.28184220692674,0.199898004842268,0.300428293868759,"Not"
"AC008763.2",1.97005157337809,-0.500007264323342,0.794521494365415,-0.629318738220793,0.529140406250222,0.642552303791387,"Not"
"AC008763.3",0.139371078806266,0.298129969565431,4.79815597224035,0.062134280604936,0.950455897753064,0.967481787685303,"Not"
"AC008764.1",0.0886300405463289,0.298152162734806,3.82594478074149,0.0779290292519648,0.937884507618322,NA,"Not"
"AC008764.4",6.83952008298276,1.77965973559502,0.610816802826787,2.91357364001608,0.0035731755080764,0.00993907960880094,"Up"
"AC008770.2",0.515820444754013,1.41116679535906,1.322660126743,1.06691565491885,0.28600992494546,0.397965721095593,"Not"
"AC008770.3",5.24877802345264,-0.167429862807549,0.427436004448194,-0.391707439394806,0.695274392596787,0.78706956368069,"Not"
"AC008878.1",0.911585057942715,-0.425694762748747,0.966456775778407,-0.440469530989507,0.659597075359762,0.757512695768393,"Not"
"AC008878.2",1.06170007349609,1.85820515854705,1.14612170756962,1.62129828470611,0.104953682732773,0.177508246607215,"Not"
"AC008878.3",0.329264742999928,-1.08073400068006,1.40659733109185,-0.768332184905512,0.442289858174655,0.55986140622099,"Not"
"AC008982.1",0.455914418874775,1.29352358916548,1.3115481365856,0.986257044696019,0.324006992849623,0.440034606493437,"Not"
"AC009014.1",16.6152274105634,-4.11707937387434,0.87736287211732,-4.69256165802717,2.69805180729466e-06,1.80510434831084e-05,"Down"
"AC009086.2",0.0134067308318926,0.0313141897445762,8.19826783081789,0.00381961048245628,0.996952399178226,NA,"Not"
"AC009119.2",15.9701959846857,-0.863254842011061,0.423753142156138,-2.03716446235337,0.0416335638053867,0.0821892931737958,"Down"
"AC009133.6",0.0924943675624411,0.273906000897325,3.80301880007561,0.0720233097169752,0.942583357549808,NA,"Not"
"AC009163.2",1.43485159541811,-1.97376226824791,0.65522703913311,-3.01233335983702,0.00259247729123932,0.00752505966939139,"Down"
"AC009163.4",0.723089008740583,-0.928078462886816,0.754713158135433,-1.2297101923858,0.218805648694336,0.322693238713286,"Not"
"AC009336.2",14.0590583595038,6.29136853554662,1.36072688252236,4.62353512402459,3.77254826214717e-06,2.41874682858409e-05,"Up"
